,County,dose_date,Janssen,Moderna,Pfizer12+,Pfizer5-11,Total Doses Administered
386,BARNES,2021-07-14,0.0,1.0,7.0,0.0,8.0
387,BARNES,2021-07-15,0.0,3.0,4.0,0.0,7.0
388,BARNES,2021-07-16,0.0,4.0,6.0,0.0,10.0
389,BARNES,2021-07-19,0.0,4.0,9.0,0.0,13.0
390,BARNES,2021-07-20,0.0,4.0,9.0,0.0,13.0
391,BARNES,2021-07-21,0.0,4.0,14.0,0.0,18.0
392,BARNES,2021-07-22,0.0,3.0,5.0,0.0,8.0
393,BARNES,2021-07-23,0.0,10.0,5.0,0.0,15.0
394,BARNES,2021-07-26,1.0,5.0,8.0,0.0,14.0
395,BARNES,2021-07-27,1.0,2.0,7.0,0.0,10.0
396,BARNES,2021-07-28,0.0,6.0,7.0,0.0,13.0
